Car Name,Distance,Owner,Fuel,Location,Drive,Type,car_age
Maruti Wagon R 1.0,32330,1,PETROL,HR-52,Automatic,HatchBack,6
Honda Amaze,18152,1,PETROL,GJ-06,Manual,Sedan,5
Maruti Dzire,71321,2,PETROL,HR-26,Manual,Sedan,7
Maruti Alto K10,80172,2,PETROL,AP-29,Manual,HatchBack,12
Maruti Swift,44602,1,PETROL,TS-07,Manual,HatchBack,6
Toyota YARIS,39299,1,PETROL,MH-12,Automatic,Sedan,6
Honda Brio,52092,2,PETROL,KA-04,Manual,HatchBack,12
Volkswagen Ameo,19158,1,PETROL,TN-59,Manual,Sedan,6
Renault Kiger,20044,1,PETROL,KA-04,Manual,HatchBack,3
Maruti Wagon R 1.0,44752,1,PETROL,MH-03,Manual,HatchBack,10
Datsun Redi Go,30732,1,PETROL,KA-04,Manual,HatchBack,6
Maruti Swift Dzire,14799,1,PETROL,MH-01,Manual,Sedan,12
Maruti Dzire,43525,1,PETROL,KA-05,Manual,Sedan,6
Hyundai Grand i10,92995,2,PETROL,HR-36,Manual,HatchBack,7
Hyundai NEW I20,14261,1,PETROL,TN-14,Manual,HatchBack,3
Honda Amaze,9415,1,PETROL,GJ-32,Manual,Sedan,11
Maruti Celerio,17547,1,PETROL,MH-01,Automatic,HatchBack,6
Maruti Celerio,49344,1,PETROL,GJ-08,Automatic,HatchBack,7
Hyundai Elite i20,18690,1,PETROL,TS-12,Manual,HatchBack,5
Tata NEXON,83234,1,DIESEL,WB-26,Manual,SUV,6
Maruti Ciaz,17752,1,PETROL,TN-06,Manual,Sedan,3
Honda Amaze,97084,1,PETROL,KA-41,Manual,Sedan,3
Hyundai Xcent,40791,2,PETROL,MH-01,Manual,Sedan,9
Tata ALTROZ,35197,1,DIESEL,MH-03,Manual,HatchBack,4
Maruti Vitara Brezza,73081,1,DIESEL,UP-65,Manual,SUV,6
Maruti Wagon R 1.0,58165,2,PETROL,MP-04,Manual,HatchBack,6
Maruti Wagon R 1.0,22866,1,PETROL,DL-8C,Manual,HatchBack,13
Maruti Baleno,54410,1,PETROL,DL-9C,Manual,HatchBack,7
Maruti Wagon R 1.0,14524,1,PETROL,KA-53,Manual,HatchBack,7
Renault Kwid,66995,2,PETROL,MH-14,Manual,HatchBack,9
Maruti Wagon R 1.0,75537,1,CNG,DL-8C,Manual,HatchBack,7
Maruti Dzire,39198,1,PETROL,TS-08,Automatic,Sedan,7
Maruti Baleno,74270,2,DIESEL,MH-12,Manual,HatchBack,8
Maruti Baleno,36573,3,PETROL,TN-14,Manual,HatchBack,7
Maruti A Star,64103,2,PETROL,KA-02,Manual,HatchBack,14
Maruti Alto 800,26158,1,PETROL,PB-91,Manual,HatchBack,6
Maruti Alto,60299,1,PETROL,GJ-03,Manual,HatchBack,5
Maruti Baleno,32343,1,PETROL,MH-14,Automatic,HatchBack,7
Maruti Ciaz,123077,2,DIESEL,GJ-01,Manual,Sedan,9
Hyundai Elite i20,29201,2,PETROL,MH-02,Manual,HatchBack,7
Honda City,71105,1,PETROL,MH-48,Automatic,Sedan,7
Maruti Swift Dzire,73399,1,PETROL,AP-23,Manual,Sedan,12
Maruti Swift Dzire,41312,1,PETROL,AP-10,Manual,Sedan,11
Maruti Baleno,34102,1,PETROL,MH-03,Manual,HatchBack,7
Hyundai i10,69532,1,PETROL,KA-05,Automatic,HatchBack,13
Maruti Vitara Brezza,41465,2,DIESEL,HR-13,Manual,SUV,4
Maruti Ritz,75638,2,PETROL,TS-13,Manual,HatchBack,10
Maruti Dzire,51377,1,PETROL,TS-08,Automatic,Sedan,5
Maruti Swift Dzire,35872,1,PETROL,WB-02,Manual,Sedan,10
Honda Jazz,74079,2,PETROL,GJ-06,Manual,HatchBack,9
Maruti Wagon R 1.0,79275,1,PETROL,DL-8C,Manual,HatchBack,13
Hyundai Grand i10,27721,1,PETROL,DL-8C,Manual,HatchBack,6
Maruti Swift,21347,1,PETROL,DL-5C,Manual,HatchBack,6
Maruti IGNIS,59811,1,PETROL,MH-05,Automatic,HatchBack,7
Nissan Micra,89172,1,PETROL,GJ-05,Automatic,HatchBack,6
Maruti Baleno,31867,1,PETROL,DL-8C,Manual,HatchBack,5
Hyundai i20,39845,1,PETROL,MH-02,Manual,HatchBack,12
Maruti Alto K10,67182,2,PETROL,MH-12,Automatic,HatchBack,9
Mahindra XUV500,69690,1,DIESEL,MH-47,Manual,Lux_SUV,6
Renault Kwid,66740,1,PETROL,GJ-05,Automatic,HatchBack,5
Honda Brio,70683,2,PETROL,UP-32,Manual,HatchBack,10
Maruti Swift,39280,2,PETROL,GJ-05,Manual,HatchBack,5
Maruti Vitara Brezza,41265,2,DIESEL,GJ-03,Manual,SUV,5
Hyundai Verna,58942,1,PETROL,MH-12,Automatic,Sedan,7
Hyundai i20,36766,2,PETROL,KA-51,Manual,HatchBack,10
Hyundai Eon,33476,1,PETROL,MH-12,Manual,HatchBack,8
Hyundai Creta,99951,2,PETROL,DL-1C,Manual,SUV,9
Tata Tiago,12060,1,PETROL,TN-09,Manual,HatchBack,3
Tata Tiago,30214,1,PETROL,TN-58,Manual,HatchBack,5
Ford Ecosport,46706,1,PETROL,DL-2C,Manual,SUV,8
Maruti Wagon R 1.0,53706,1,PETROL,MH-15,Manual,HatchBack,10
Hyundai Grand i10,59973,1,PETROL,TS-07,Manual,HatchBack,10
Maruti Alto,61703,1,PETROL,PB-07,Manual,HatchBack,4
Hyundai Eon,43724,1,PETROL,KA-19,Manual,HatchBack,9
Maruti Baleno,26371,1,PETROL,HR-30,Manual,HatchBack,7
Hyundai Verna,114451,1,DIESEL,KA-13,Manual,Sedan,7
Maruti Celerio,81389,1,CNG,MH-12,Manual,HatchBack,4
Ford Ecosport,33921,1,PETROL,TN-12,Manual,SUV,7
Mahindra Bolero,47559,2,DIESEL,UP-32,Manual,SUV,4
Maruti Alto K10,54671,1,PETROL,KA-03,Manual,HatchBack,14
Hyundai i10,50831,3,PETROL,KA-51,Manual,HatchBack,14
Maruti Celerio,50393,1,CNG,MH-43,Manual,HatchBack,4
Hyundai VENUE,16860,2,PETROL,TN-12,Manual,SUV,3
Maruti Dzire,69384,2,DIESEL,WB-20,Automatic,Sedan,4
Renault Duster,52851,1,DIESEL,GJ-16,Manual,SUV,8
Maruti Alto 800,61979,1,PETROL,TS-09,Manual,HatchBack,9
Hyundai i10,72666,1,PETROL,MH-12,Manual,HatchBack,13
Maruti IGNIS,52819,1,PETROL,BR-01,Automatic,HatchBack,4
Renault Kwid,19797,1,PETROL,DL-8C,Manual,HatchBack,5
Hyundai NEW SANTRO,39198,2,PETROL,MP-04,Automatic,HatchBack,6
Honda City,16856,1,PETROL,HR-26,Manual,Sedan,8
Toyota Etios Liva,73506,1,PETROL,DL-8C,Manual,HatchBack,10
Maruti Ciaz,51252,1,PETROL,TN-12,Automatic,Sedan,9
Maruti Alto,20494,1,PETROL,CH-01,Manual,HatchBack,5
Maruti Ciaz,14290,1,PETROL,MH-14,Automatic,Sedan,6
Honda Jazz,50359,1,PETROL,KA-04,Automatic,HatchBack,7
Renault Kwid,9889,1,PETROL,DL-12,Manual,HatchBack,6
Maruti Wagon R 1.0,40670,1,CNG,MH-12,Manual,HatchBack,10
Renault TRIBER,5303,1,PETROL,MH-12,Manual,SUV,2
Maruti Celerio,63509,1,PETROL,MH-34,Automatic,HatchBack,8
Hyundai NEW I20,17449,2,DIESEL,KA-11,Manual,HatchBack,3
Maruti Baleno,43476,2,PETROL,RJ-02,Manual,HatchBack,5
Honda Amaze,11799,1,PETROL,KL-22,Manual,Sedan,3
Maruti Wagon R 1.0,52914,1,PETROL,TN-22,Manual,HatchBack,10
Hyundai Santro Xing,73284,2,PETROL,MP-09,Manual,HatchBack,13
Hyundai GRAND I10 NIOS,55115,2,PETROL,MH-40,Manual,HatchBack,5
Maruti Celerio,40547,1,PETROL,KA-05,Automatic,HatchBack,8
Maruti Wagon R 1.0,50244,1,PETROL,MH-01,Manual,HatchBack,11
Renault Kwid,46656,1,PETROL,GJ-05,Manual,HatchBack,6
